benchmark,model,surface,run,item_id,vote,annotation_type,source_file
aa-omniscience,Claude Haiku,API,run_0,10,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,64,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,117,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,136,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,150,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,177,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,249,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,507,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,539,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,566,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,585,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,593,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,599,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,API,run_0,600,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,132,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,168,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,415,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,474,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,481,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,510,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,529,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,571,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
aa-omniscience,Claude Haiku,Interface,run_2,593,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
arc,Claude Haiku,Interface,2026-03-14_19-23-28/session_00,37,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
arc,Claude Haiku,Interface,2026-03-14_19-23-28/session_00,117,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-og,Claude Haiku,API,run_2,8995,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Haiku,API,run_3,10861,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Haiku,API,run_3,11135,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-og,Claude Haiku,Interface,run_1,8995,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Haiku,Interface,run_1,10896,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Haiku,Interface,run_1,11260,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Haiku,Interface,run_1,11511,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Haiku,Interface,run_1,11722,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,10824,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,10871,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,10896,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,11135,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,11323,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,11335,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,11631,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,API,run_1,11661,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Opus,Interface,run_1,10871,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Opus,Interface,run_1,10936,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Opus,Interface,run_1,11604,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,Interface,run_3,10844,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,Interface,run_3,10896,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
elephant-flip,Claude Sonnet,Interface,run_3,10936,disagree,extractor,elephant-flip-extractor_votes_2026-05-25.json
