model,model_label,benchmark,bench_label,surface,mean_pct,se,n_runs
chatgpt-instant,GPT 5.3 Instant,metabench-arc,ARC,api,99.9,0.14,5
chatgpt-instant,GPT 5.3 Instant,metabench-arc,ARC,interface,98.6,0.87,5
chatgpt-thinking,GPT 5.4 Think,metabench-arc,ARC,api,99.4,0.26,5
chatgpt-thinking,GPT 5.4 Think,metabench-arc,ARC,interface,98.6,0.38,5
claude-haiku,Claude Haiku 4.5,metabench-arc,ARC,api,97.1,0.21,5
claude-haiku,Claude Haiku 4.5,metabench-arc,ARC,interface,97.4,0.36,5
claude-opus,Claude Opus 4.6,metabench-arc,ARC,api,98.6,0.00,5
claude-opus,Claude Opus 4.6,metabench-arc,ARC,interface,98.6,0.00,5
claude-sonnet,Claude Sonnet 4.6,metabench-arc,ARC,api,99.6,0.17,5
claude-sonnet,Claude Sonnet 4.6,metabench-arc,ARC,interface,98.8,0.14,5
gemini-thinking,Gemini 3 Flash Think,metabench-arc,ARC,api,99.4,0.14,5
gemini-thinking,Gemini 3 Flash Think,metabench-arc,ARC,interface,99.3,0.22,5
gemini-fast,Gemini 3 Flash Fast,metabench-arc,ARC,api,99.0,0.17,5
gemini-fast,Gemini 3 Flash Fast,metabench-arc,ARC,interface,99.0,0.28,5
chatgpt-instant,GPT 5.3 Instant,metabench-gsm8k,GSM8K,api,98.3,0.23,5
chatgpt-instant,GPT 5.3 Instant,metabench-gsm8k,GSM8K,interface,93.3,0.63,5
chatgpt-thinking,GPT 5.4 Think,metabench-gsm8k,GSM8K,api,99.0,0.21,5
chatgpt-thinking,GPT 5.4 Think,metabench-gsm8k,GSM8K,interface,96.3,0.75,5
claude-haiku,Claude Haiku 4.5,metabench-gsm8k,GSM8K,api,99.1,0.08,5
claude-haiku,Claude Haiku 4.5,metabench-gsm8k,GSM8K,interface,98.1,0.32,5
claude-opus,Claude Opus 4.6,metabench-gsm8k,GSM8K,api,97.9,0.00,5
claude-opus,Claude Opus 4.6,metabench-gsm8k,GSM8K,interface,97.8,0.25,5
claude-sonnet,Claude Sonnet 4.6,metabench-gsm8k,GSM8K,api,98.9,0.10,5
claude-sonnet,Claude Sonnet 4.6,metabench-gsm8k,GSM8K,interface,98.0,0.28,5
gemini-thinking,Gemini 3 Flash Think,metabench-gsm8k,GSM8K,api,98.5,0.23,5
gemini-thinking,Gemini 3 Flash Think,metabench-gsm8k,GSM8K,interface,98.2,0.88,5
gemini-fast,Gemini 3 Flash Fast,metabench-gsm8k,GSM8K,api,99.1,0.01,5
gemini-fast,Gemini 3 Flash Fast,metabench-gsm8k,GSM8K,interface,97.5,1.20,5
chatgpt-instant,GPT 5.3 Instant,metabench-hellaswag,HellaSwag,api,88.3,0.46,5
chatgpt-instant,GPT 5.3 Instant,metabench-hellaswag,HellaSwag,interface,91.3,0.73,5
chatgpt-thinking,GPT 5.4 Think,metabench-hellaswag,HellaSwag,api,94.6,0.59,5
chatgpt-thinking,GPT 5.4 Think,metabench-hellaswag,HellaSwag,interface,94.0,1.30,5
claude-haiku,Claude Haiku 4.5,metabench-hellaswag,HellaSwag,api,92.5,0.40,5
claude-haiku,Claude Haiku 4.5,metabench-hellaswag,HellaSwag,interface,89.2,0.71,5
claude-opus,Claude Opus 4.6,metabench-hellaswag,HellaSwag,api,97.8,0.00,5
claude-opus,Claude Opus 4.6,metabench-hellaswag,HellaSwag,interface,96.3,0.26,5
claude-sonnet,Claude Sonnet 4.6,metabench-hellaswag,HellaSwag,api,96.4,0.03,5
claude-sonnet,Claude Sonnet 4.6,metabench-hellaswag,HellaSwag,interface,93.1,1.53,5
gemini-thinking,Gemini 3 Flash Think,metabench-hellaswag,HellaSwag,api,96.1,0.25,5
gemini-thinking,Gemini 3 Flash Think,metabench-hellaswag,HellaSwag,interface,96.3,0.42,5
gemini-fast,Gemini 3 Flash Fast,metabench-hellaswag,HellaSwag,api,95.2,0.26,5
gemini-fast,Gemini 3 Flash Fast,metabench-hellaswag,HellaSwag,interface,94.7,0.47,5
chatgpt-instant,GPT 5.3 Instant,metabench-mmlu,MMLU,api,94.4,0.61,5
chatgpt-instant,GPT 5.3 Instant,metabench-mmlu,MMLU,interface,91.6,2.37,5
chatgpt-thinking,GPT 5.4 Think,metabench-mmlu,MMLU,api,95.7,0.30,5
chatgpt-thinking,GPT 5.4 Think,metabench-mmlu,MMLU,interface,91.8,1.89,5
claude-haiku,Claude Haiku 4.5,metabench-mmlu,MMLU,api,93.0,0.80,5
claude-haiku,Claude Haiku 4.5,metabench-mmlu,MMLU,interface,93.0,0.30,5
claude-opus,Claude Opus 4.6,metabench-mmlu,MMLU,api,96.4,0.42,5
claude-opus,Claude Opus 4.6,metabench-mmlu,MMLU,interface,96.0,0.20,5
claude-sonnet,Claude Sonnet 4.6,metabench-mmlu,MMLU,api,95.1,0.27,5
claude-sonnet,Claude Sonnet 4.6,metabench-mmlu,MMLU,interface,93.0,0.55,5
gemini-thinking,Gemini 3 Flash Think,metabench-mmlu,MMLU,api,95.0,0.22,5
